OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID30739,951,0.001609783696650199,0.03232753721773057,0.9602955259307147,0.9874893985532845,40.78608811490203,P00748,F12,Inflammation_II,Unique Protein
OID30740,951,0.012338874181308444,0.029599836210013435,0.6768790978640771,0.9254058012426086,37.374554551860555,P0DOY2,IGLC2,Inflammation_II,Unique Protein
OID30741,951,0.00293899546057827,0.03093498149153306,0.9243307179755926,0.9803405982012544,37.502260900693344,P43652,AFM,Inflammation_II,Unique Protein
OID30742,951,0.04281556339734978,0.02977072197090025,0.15071777884837617,0.8087454716577104,36.110420343925284,Q96PD5,PGLYRP2,Inflammation_II,Unique Protein
OID30743,951,0.013622321063644591,0.029859275506672063,0.6483393750450346,0.9132992738586199,34.190998676183014,P08185,SERPINA6,Inflammation_II,Unique Protein
OID30744,951,0.0024092083433789302,0.029667817610283777,0.9352953746760366,0.9817378520379768,28.651692063436506,P01031,C5,Inflammation_II,Unique Protein
OID30745,951,0.06393173742811277,0.02936595575992311,0.0297243282235322,0.6611892700729087,36.538863641361765,P49908,SELENOP,Inflammation_II,Unique Protein
OID30746,951,0.02033785163770405,0.03102804070133018,0.5123281261043529,0.8925212870448803,53.54490692059899,P05090,APOD,Inflammation_II,Unique Protein
OID30747,951,-0.00999159788873086,0.029956078445637215,0.7388001288337005,0.9405543452007433,54.48090892621258,P08519,LPA,Inflammation_II,Unique Protein
OID30748,683,0.03503889296330551,0.039456999083776985,0.3748452138437619,0.8512302216169279,24.85935494777617,Q15848,ADIPOQ,Inflammation_II,Unique Protein
OID30749,951,-0.011644394445401787,0.030651728267792357,0.7041105100091178,0.928984692229382,124.32845575628049,P02654,APOC1,Inflammation_II,Unique Protein
OID30750,951,-0.004653590093884169,0.028812194329314363,0.8717229304819802,0.9644537883246134,30.977102428333726,P01009,SERPINA1,Inflammation_II,Unique Protein
OID30751,951,0.014432733820544039,0.032125695528770856,0.6533492626108433,0.9162904965410781,32.624547325488315,P02750,LRG1,Inflammation_II,Unique Protein
OID30752,951,-0.019584523934837842,0.029930990572475627,0.5130645453392557,0.8925212870448803,29.093756862261177,P14151,SELL,Inflammation_II,Unique Protein
OID30753,951,-0.02765438326487468,0.03045785764325465,0.36413511905817997,0.8470294513658304,25.42829278883863,P00736,C1R,Inflammation_II,Unique Protein
OID30754,951,-0.017448476623675366,0.029160029147724285,0.5497379172871808,0.8944165271048523,33.06651124654349,P43251,BTD,Inflammation_II,Unique Protein
OID30755,951,0.029020734747239377,0.03188701621500173,0.3629978512178619,0.8470294513658304,43.88075776340995,P00751,CFB,Inflammation_II,Unique Protein
OID30756,712,-0.008252779211498652,0.03317034861852296,0.8035887606097126,0.952163681860431,33.44048128493123,P05452,CLEC3B,Inflammation_II,Unique Protein
OID30757,951,0.017747528053026183,0.03159593554231194,0.5744527942760884,0.8972999242740167,23.272420802014345,P36955,SERPINF1,Inflammation_II,Unique Protein
OID30758,951,0.008857217335458916,0.03054904578417995,0.7719306195126726,0.9472442027672827,24.84905387313403,Q92496,CFHR4,Inflammation_II,Unique Protein
OID30759,951,0.006102705010484886,0.030775917525857392,0.8428574180254415,0.9643684914276941,43.01479975825188,P11226,MBL2,Inflammation_II,Unique Protein
OID30760,951,0.02712112872039542,0.031185244091643412,0.3846989814423406,0.8512302216169279,31.050034337296673,P03952,KLKB1,Inflammation_II,Unique Protein
OID30761,951,0.053112768876412905,0.030581783851784228,0.08276078478803495,0.7828750180099703,79.5236044073025,P02775,PPBP,Inflammation_II,Unique Protein
OID30762,951,0.03393190056616701,0.03134487803374343,0.279293754752651,0.8310377701230399,46.298214106808324,Q14624,ITIH4,Inflammation_II,Unique Protein
OID30763,951,0.019009907066318832,0.029953187440944017,0.5258090952566549,0.8925212870448803,51.73952533583833,P05154,SERPINA5,Inflammation_II,Unique Protein
OID30764,951,0.03316146544043367,0.030048366278189274,0.2700487545896862,0.8219730823034633,109.24852364503599,P02776,PF4,Inflammation_II,Unique Protein
OID30765,951,0.047904097535347794,0.0298502705662746,0.10887196515268015,0.7828750180099703,41.57656078504346,Q08380,LGALS3BP,Inflammation_II,Unique Protein
OID30766,951,0.08239335114215735,0.031116914557857353,0.008236309706517848,0.48631360689247827,28.816045786155208,P10643,C7,Inflammation_II,Unique Protein
OID30767,951,0.03759495651762789,0.030530882005239658,0.21849170934817128,0.820689083731335,33.84475479238815,P05546,SERPIND1,Inflammation_II,Unique Protein
OID30768,951,0.038024325419612794,0.030507529628044816,0.2129322103423102,0.820689083731335,32.72113157798546,P02763,ORM1,Inflammation_II,Unique Protein
OID30769,951,-0.011004738829206663,0.030507959492494467,0.718392338403214,0.9350273182473724,86.34868465133147,P02647,APOA1,Inflammation_II,Unique Protein
OID30770,951,0.012089189575698631,0.030119401243650108,0.6882352077695666,0.9260804688256491,40.1040388508511,P04196,HRG,Inflammation_II,Unique Protein
OID30771,951,0.053727518227022326,0.0315786976930583,0.08920250108116486,0.7828750180099703,35.886449020471346,P04217,A1BG,Inflammation_II,Unique Protein
OID30772,951,0.03575824219773701,0.03163253116633776,0.2585859460926218,0.820689083731335,30.113185594719656,P05156,CFI,Inflammation_II,Unique Protein
OID30773,951,-0.004938898246519467,0.029422835478113578,0.8667301470354651,0.9644537883246134,37.97024216315708,P03951,F11,Inflammation_II,Unique Protein
OID30774,951,0.010897870901241462,0.029302234321891704,0.7100419946421221,0.928984692229382,37.38540600448207,P29622,SERPINA4,Inflammation_II,Unique Protein
OID30775,951,0.03541377618191322,0.030336774763731103,0.2433641379574837,0.820689083731335,37.50523322775056,O43866,CD5L,Inflammation_II,Unique Protein
OID30776,951,0.037015760756916365,0.029262854031475355,0.20620726156678304,0.820689083731335,55.07167764863178,P01024,C3,Inflammation_II,Unique Protein
OID30777,951,-0.0015079976155286333,0.03121233127798026,0.9614761643115456,0.9874893985532845,36.156985867230766,P05155,SERPING1,Inflammation_II,Unique Protein
OID30778,951,0.025618797137046682,0.031679993040556215,0.41890777198384377,0.8627265803609063,35.137522749431525,P02743,APCS,Inflammation_II,Unique Protein
OID30779,951,-0.01229311298741142,0.030497218088042344,0.686974229666241,0.9260804688256491,41.8200924418901,P08697,SERPINF2,Inflammation_II,Unique Protein
