protein,Nobs_wmh,model_wmh,beta_wmh,SE_wmh,P_wmh,beta_time_wmh,SE_time_wmh,P_time_wmh,beta_int_time_wmh,SE_int_time_wmh,P_int_time_wmh,P_wmh_fdr,P_time_wmh_fdr,P_time_wmh_int_fdr
OID30767,2797,lmer,0.03211220223664236,0.029097175699891946,0.270042778845435,-0.011292298620708765,0.012324829130137702,0.3596652977157584,-0.01883140521982182,0.011755295709020968,0.10933643510666764,0.9637176672984354,0.39463275721590163,0.4105973917672289
OID30768,2797,lmer,0.01755183324532446,0.02664024933149032,0.5101574525155886,0.05865486657748541,0.014548253297503337,5.752440456469609e-5,0.01565551475626689,0.013929598343783038,0.2611989393707263,0.9637176672984354,8.278869253698014e-5,0.625979142258297
OID30769,2797,lmer,0.011147130842917633,0.023600944935398122,0.6368117053391609,0.056089528192043804,0.01635794747478664,6.188046136174003e-4,-0.015976979277168762,0.01572256229933848,0.30967431083596064,0.9709367476161757,8.511839461664288e-4,0.6718247823357419
OID30770,2797,lmer,-0.0484957666535975,0.027049128956336457,0.07331859043657471,0.10756850898636268,0.015140150885826355,1.6902199146977324e-12,0.02273846970172459,0.014502036528416608,0.11706268264003415,0.8006218873169054,2.9654938839504633e-12,0.42367855382946135
OID30771,2797,lmer,0.047131173771991323,0.02456303788788465,0.05531682136365311,0.04768914182367808,0.01440560132160222,9.486099902912011e-4,0.0027494173574408435,0.013808805686293764,0.8422014097194468,0.7588711049652954,0.0012884697962923704,0.9464585550067736
OID30772,2797,lmer,0.055209654690925536,0.02585470384092669,0.03299008078282767,0.02189830434991828,0.014564772519636207,0.1328710995272778,-0.023123630432676744,0.013952343896802692,0.09762085964409069,0.7113087538881679,0.15479562531615504,0.38456303603730063
OID30773,2797,lmer,0.01147006645879911,0.02529916687009518,0.6503829566257633,0.1344159885295412,0.015485684173698045,8.265505591826484e-18,-0.01754703602633799,0.014854400492606173,0.2376463971924537,0.9709367476161757,1.6128219522636058e-17,0.6029864748207832
OID30774,2797,lmer,0.018150900860632903,0.0288348401747215,0.5291901318326842,0.006135041800661441,0.01414146885227182,0.6644581515876655,0.002091910974206742,0.013517296278369983,0.8770287893225188,0.9637176672984354,0.693151740574856,0.9593859359950941
OID30775,2797,lmer,0.021727325709666873,0.030307254693323696,0.473613548561186,-0.0734384308872387,0.010496947322301982,3.6326921649077975e-12,0.021950130672589437,0.0099855664519114,0.028059026057572684,0.9637176672984354,6.3091855009064126e-12,0.1760011441336587
OID30776,2797,lmer,0.01156502313976601,0.021878116201116536,0.597202668670889,0.08348607594805797,0.01834438290649837,5.671011797766926e-6,0.02367860871876328,0.017684087987347583,0.18074032870301238,0.9647934823891748,8.470295086802619e-6,0.5336403846453587
OID30777,2797,lmer,-0.0011701247844766907,0.02621619763675903,0.9644088668079107,0.07978424982876467,0.014559319167684064,4.8136577996518325e-8,-0.009451752019723139,0.013943934840779002,0.4979573166061495,0.9999016157417211,7.609692670839538e-8,0.7987110896425753
OID30778,2797,lmer,0.035005144016741416,0.026416078042764194,0.1854493955303813,-0.06539144811466341,0.013388285932797471,1.1245283974162608e-6,-0.029526762580455203,0.012803874416809163,0.02121571448621903,0.9375324558441192,1.7209405788731573e-6,0.1496944692796497
OID30779,2797,lmer,-0.010228585419257813,0.024433600777222196,0.6755856632030157,-0.08287711851105989,0.016453350082380643,5.168283767937476e-7,-0.011482324104390372,0.015806945151909294,0.46767858188925726,0.9737361408000075,7.967770808903609e-7,0.7833951259955868
OID30780,2797,lmer,-0.0019237179411665572,0.03068497208901448,0.9500248095004835,-0.03716077449248215,0.010934958608101224,6.91968120842381e-4,-0.013063893629195597,0.010405820985548767,0.2094771799641647,0.9970966026012847,9.486973814363413e-4,0.5664216438809005
OID30781,2797,lmer,-0.035211723772409734,0.026877913065626046,0.19049839629207996,-0.0300028527060638,0.014270635262008032,0.03564640909033406,-0.03422885157639977,0.013657678865592106,0.012288328489998657,0.9375324558441192,0.0440010362208811,0.10464293758767995
OID30782,2797,lmer,0.03142523639326167,0.025254385061048216,0.21368737330397888,-0.10853527819254191,0.015182935148855421,1.241082520227588e-12,-0.018556279642212573,0.014559763289967179,0.20264870188173836,0.9536447514140647,2.1853519317019515e-12,0.5584809727799015
OID30783,2797,lmer,0.014750260294021073,0.02583736670688918,0.568213010154194,-0.006536527715967564,0.016316193989405217,0.6887472421418327,0.007576465225868979,0.015658949012039198,0.6285542836998214,0.9637176672984354,0.7166992484088917,0.8651486163792174
OID30784,2797,lmer,0.0297973496807674,0.025507525305766582,0.24303279788350715,-0.08081675945596462,0.015147125124576926,1.0650921228368697e-7,-0.015162154414331296,0.014522529656808069,0.2966000392949673,0.9575273474331655,1.6720001477186736e-7,0.6612874063906168
OID30785,2797,lmer,0.016628742103334447,0.027430773597932622,0.5445247898973749,-0.08507212994397374,0.014315273072301352,3.3200059164100217e-9,-0.010374475699821608,0.013696672726888508,0.4488791135228797,0.9637176672984354,5.421439828863963e-9,0.7759435293935626
OID30786,2797,lmer,0.022423294006596477,0.025211287024040827,0.3740118255081891,0.07622830613945317,0.016232020137415835,2.8383193059440856e-6,0.01475655433466451,0.015583038748943479,0.3437805678413367,0.9637176672984354,4.283122008918205e-6,0.7041636944023002
OID30787,2797,lmer,-0.04051815276315684,0.022084394899584355,0.06687229147621182,0.002406317530450641,0.01793920914091294,0.8933079633266137,-0.012046234156085559,0.017285233982218026,0.48594616811105606,0.7889813102241673,0.9044472382416666,0.7924764242666394
OID30788,2797,lmer,0.003431135052745272,0.024922379074794523,0.8905289098413152,0.14491370373545978,0.014490676024425135,5.469859583986898e-23,8.331809549969645e-4,0.013888422719419096,0.9521692042938767,0.9905478526706181,1.1585796785502684e-22,0.9852002067791156
OID30789,2797,lmer,0.009538026157238476,0.024039687995628237,0.6916349833915683,-0.025392273031285415,0.01653706087707442,0.12483102333450039,0.015942871775642714,0.01589280370495876,0.3159183295063529,0.9777820632302823,0.14601083681742483,0.6755151990834452
OID30790,2797,lmer,0.025033808053167732,0.02774239356452915,0.36709638729410055,0.0570044084260058,0.014153485468693473,5.8549262333567864e-5,-0.02102579437205725,0.013537064507341646,0.12054507438259264,0.9637176672984354,8.418076428972891e-5,0.4281327489918813
OID30791,2797,lmer,0.026464414274466466,0.028781346731408225,0.35807946084958675,-0.032648949046264066,0.01492643274568123,0.02884058095276225,-0.010305672547875894,0.014280017851231412,0.47058004349549865,0.9637176672984354,0.03588916329839575,0.7850501386540188
OID30792,2797,lmer,0.005053964367807178,0.028537618291354285,0.8594706174606195,-0.0013094059612415588,0.014062381640801747,0.9258227542653661,0.016959403460948822,0.013442683459883071,0.20724968976921795,0.9904964743103358,0.9335828849173907,0.5630026423749295
