protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID30433,2776,lmer,-0.006517081388450176,0.030673484884753088,0.8317893212836877,-0.0215772103995167,0.013997626101873443,0.12336340453832755,0.018305911929219973,0.014838522793319339,0.2174798478567005,0.9883415390700078,0.1449321669877538,0.4122133344179211
OID30434,2776,lmer,-0.049821369187085414,0.026212147086717895,0.05765885737607623,-0.023150951420014023,0.01653770393868795,0.16171110336525704,0.024389249985978096,0.017602543891651258,0.166051523297899,0.9192210937719016,0.18660937826160534,0.3469396730520077
OID30435,2776,lmer,0.028028549727478137,0.027899101878186828,0.3153326898870333,0.025421478962837793,0.0157154955420595,0.10591343272294024,-0.008354165468992088,0.016703768688812102,0.6170382392371269,0.9192210937719016,0.1254904596064671,0.7811185679039072
OID30436,2776,lmer,-0.01644966663773962,0.027516480485748382,0.5501114147779869,-0.03152751905040658,0.015654340635297824,0.044152082967310276,0.01369207230764029,0.016640847833981603,0.41072787546148337,0.9254680193201702,0.05411175619012492,0.6165488102030612
OID30437,2776,lmer,0.017946457200166823,0.027736036387060084,0.5177628729959782,0.04003887850538133,0.015964241436205368,0.012223041091690805,0.0026671183934818083,0.01697276872487335,0.8751507693696436,0.9192210937719016,0.0155745201007028,0.9373637592039091
OID30438,2036,lmer,0.021016045262419944,0.029082734914927154,0.47015740214062185,0.2122506295567388,0.02008817947137012,3.669545303947966e-25,0.026425210939120734,0.021827258712838415,0.22623793659027033,0.9192210937719016,8.070790762558243e-25,0.42093793039679195
OID30439,2776,lmer,-0.0209523338085691,0.029601017894468416,0.4792299386453388,0.06855577670044342,0.01458294402219131,2.7731408732918855e-6,0.019302345474289603,0.015473760301025014,0.2123988411778515,0.9192210937719016,4.1999434055089025e-6,0.40472086881542363
OID30440,2776,lmer,0.023597877087894095,0.02619959564371224,0.3679853968034471,0.0035093183203609352,0.016674904179477694,0.8333350773899757,0.017266067729099263,0.017750476225566067,0.33082422045059556,0.9192210937719016,0.8516917591646501,0.5420080443153135
OID30441,2776,lmer,0.002979449817883192,0.030159611876644322,0.9213266316158318,7.10930040992523e-4,0.0127841351895242,0.9556580827625804,-0.0030112216406775025,0.013539994393665484,0.8240311954572286,0.9937700677269244,0.9605875432995263,0.9127105662453503
OID30442,2776,lmer,-0.04004208991537523,0.03069056113276502,0.19231410311039082,0.02729711318516804,0.014216330844775478,0.054991571488473716,0.008409043988516043,0.015073149521378325,0.5769919185678738,0.9192210937719016,0.06672493294346563,0.7499099057242753
