protein,Nobs_mb_present,model_mb_present,beta_mb_present,SE_mb_present,P_mb_present,beta_time_mb_present,SE_time_mb_present,P_time_mb_present,beta_int_time_mb_present,SE_int_time_mb_present,P_int_time_mb_present,P_mb_present_fdr,P_time_mb_present_fdr,P_time_mb_present_int_fdr
OID30652,2935,lmer,NA,NA,NA,-0.06291456054742635,0.01636001873925118,1.2404129262748927e-4,NA,NA,NA,NA,1.8660457969642364e-4,NA
OID30653,2935,lmer,NA,NA,NA,0.2552876731020585,0.020608675902875725,5.271946787117619e-34,NA,NA,NA,NA,1.7574628967962082e-33,NA
OID30654,2935,lmer,NA,NA,NA,0.3770932111471691,0.020582607521397598,2.0784765985962094e-69,NA,NA,NA,NA,4.2485224459417626e-68,NA
OID30655,2935,lmer,NA,NA,NA,0.3454965068187459,0.02093015865991037,1.7733456238520654e-57,NA,NA,NA,NA,1.7452825786261237e-56,NA
OID30656,2935,lmer,NA,NA,NA,0.2964971996789662,0.02042820089289815,1.8773216194422185e-45,NA,NA,NA,NA,9.406766524727326e-45,NA
OID30657,2935,lmer,NA,NA,NA,0.297177578463445,0.02019432493406324,1.2981361574574778e-46,NA,NA,NA,NA,6.812301594700552e-46,NA
OID30658,2935,lmer,NA,NA,NA,0.3181970288102537,0.020456617764157553,1.4249946334230986e-51,NA,NA,NA,NA,9.777604022290416e-51,NA
OID30659,2935,lmer,NA,NA,NA,0.3506341394887779,0.020355039450490522,4.2824059106112545e-62,NA,NA,NA,NA,5.563321100762976e-61,NA
OID30660,2935,lmer,NA,NA,NA,0.008691621813629652,0.01664442172423304,0.6015936425518291,NA,NA,NA,NA,0.6391283180199656,NA
OID30661,2935,lm,NA,NA,NA,0.42214293118954205,0.020351445528330837,2.8622622412925652e-89,NA,NA,NA,NA,1.7429984440204517e-87,NA
OID30662,2935,lmer,NA,NA,NA,-0.11048879830026312,0.018456993073476594,2.5409923141411127e-9,NA,NA,NA,NA,4.512345403544637e-9,NA
OID30663,2935,lmer,NA,NA,NA,0.2715474814152009,0.020672535792164305,7.371533082995471e-38,NA,NA,NA,NA,2.7802569292381627e-37,NA
